cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	sw_generico	biosimilar	radiofarmaco
707217	80068	BUPRENORFINA ANDROMACO 35 MICROGRAMOS/HORA PARCHE TRANSDERMICO EFG	Buprenorfina 35 microgramos/h (96 h) parche transdérmico	35 microgramos/h	Sobre	5	parche	BUPRENORFINA 35 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	ANDROMACO PHARMA S.L.	0	1	0	0
707218	80068	BUPRENORFINA ANDROMACO 35 MICROGRAMOS/HORA PARCHE TRANSDERMICO EFG	Buprenorfina 35 microgramos/h (96 h) parche transdérmico	35 microgramos/h	Sobre	10	parche	BUPRENORFINA 35 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	ANDROMACO PHARMA S.L.	0	1	0	0
707219	80069	BUPRENORFINA ANDROMACO 70 MICROGRAMOS/HORA PARCHE TRANSDERMICO EFG	Buprenorfina 70 microgramos/h (96 h) parche transdérmico	70 microgramos/h	Sobre	5	parche	BUPRENORFINA 70 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	ANDROMACO PHARMA S.L.	0	1	0	0
707220	80069	BUPRENORFINA ANDROMACO 70 MICROGRAMOS/HORA PARCHE TRANSDERMICO EFG	Buprenorfina 70 microgramos/h (96 h) parche transdérmico	70 microgramos/h	Sobre	10	parche	BUPRENORFINA 70 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	ANDROMACO PHARMA S.L.	0	1	0	0
709012	80460	BUPRENORFINA STADA 35 MICROGRAMOS/HORA PARCHE TRANSDERMICO 96 HORAS EFG	Buprenorfina 35 microgramos/h (96 h) parche transdérmico	35 microgramos/h	Sobre	5	parche	BUPRENORFINA 35 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	LABORATORIO STADA S.L.	0	1	0	0
709060	80461	BUPRENORFINA STADA 52,5 MICROGRAMOS/HORA PARCHE TRANSDERMICO 96 HORAS EFG	Buprenorfina 52,5 microgramos/h (96 h) parche transdérmico	52,5 microgramos/h	Sobre	5	parche	BUPRENORFINA 52,5 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	LABORATORIO STADA S.L.	0	1	0	0
709107	80462	BUPRENORFINA STADA 70 MICROGRAMOS/HORA PARCHE TRANSDERMICO 96 HORAS EFG	Buprenorfina 70 microgramos/h (96 h) parche transdérmico	70 microgramos/h	Sobre	5	parche	BUPRENORFINA 70 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	LABORATORIO STADA S.L.	0	1	0	0
709798	80596	BUPRENORFINA SANDOZ 35 MICROGRAMOS/HORA PARCHE TRANSDERMICO EFG	Buprenorfina 35 microgramos/h (96 h) parche transdérmico	35 microgramos/h	Sobre	5	parche	BUPRENORFINA 35 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	SANDOZ FARMACEUTICA S.A.	0	1	0	0
709799	80597	BUPRENORFINA SANDOZ 52,5 MICROGRAMOS/HORA PARCHE TRANSDERMICO EFG	Buprenorfina 52,5 microgramos/h (96 h) parche transdérmico	52,5 microgramos/h	Sobre	5	parche	BUPRENORFINA 52,5 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	SANDOZ FARMACEUTICA S.A.	0	1	0	0
709800	80598	BUPRENORFINA SANDOZ 70 MICROGRAMOS/HORA PARCHE TRANSDERMICO EFG	Buprenorfina 70 microgramos/h (96 h) parche transdérmico	70 microgramos/h	Sobre	5	parche	BUPRENORFINA 70 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	SANDOZ FARMACEUTICA S.A.	0	1	0	0
709826	80609	BUPRENORFINA TEVA 35 MICROGRAMOS/HORA PARCHE TRANSDERMICO EFG	Buprenorfina 35 microgramos/h (96 h) parche transdérmico	35 microgramos/h	Sobre	5	parche	BUPRENORFINA 35 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	TEVA PHARMA S.L.U.	0	1	0	0
709827	80610	BUPRENORFINA TEVA 52,5 MICROGRAMOS/HORA PARCHE TRANSDERMICO EFG	Buprenorfina 52,5 microgramos/h (96 h) parche transdérmico	52,5 microgramos/h	Sobre	5	parche	BUPRENORFINA 52,5 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	TEVA PHARMA S.L.U.	0	1	0	0
709828	80611	BUPRENORFINA TEVA 70 MICROGRAMOS/HORA PARCHE TRANSDERMICO EFG	Buprenorfina 70 microgramos/h (96 h) parche transdérmico	70 microgramos/h	Sobre	5	parche	BUPRENORFINA 70 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	TEVA PHARMA S.L.U.	0	1	0	0
709852	80620	BUPRENORFINA RATIOPHARM 35 MICROGRAMOS/HORA PARCHES TRANSDERMICOS EFG	Buprenorfina 35 microgramos/h (96 h) parche transdérmico	35 microgramos/h	Sobre	5	parche	BUPRENORFINA 35 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	TEVA PHARMA S.L.U.	0	1	0	0
709853	80621	BUPRENORFINA RATIOPHARM 52,5 MICROGRAMOS/HORA PARCHES TRANSDERMICOS EFG	Buprenorfina 52,5 microgramos/h (96 h) parche transdérmico	52,5 microgramos/h	Sobre	5	parche	BUPRENORFINA 52,5 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	TEVA PHARMA S.L.U.	0	1	0	0
709854	80622	BUPRENORFINA RATIOPHARM 70 MICROGRAMOS/HORA PARCHES TRANSDERMICOS EFG	Buprenorfina 70 microgramos/h (96 h) parche transdérmico	70 microgramos/h	Sobre	5	parche	BUPRENORFINA 70 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	TEVA PHARMA S.L.U.	0	1	0	0
710030	80669	GEXANA 35 MICROGRAMOS/HORA PARCHE TRANSDERMICO EFG	Buprenorfina 35 microgramos/h (96 h) parche transdérmico	35 microgramos/h	Sobre	5	parche	BUPRENORFINA 35 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	ARISTO PHARMA IBERIA S.L.	0	1	0	0
710031	80669	GEXANA 35 MICROGRAMOS/HORA PARCHE TRANSDERMICO EFG	Buprenorfina 35 microgramos/h (96 h) parche transdérmico	35 microgramos/h	Sobre	10	parche	BUPRENORFINA 35 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	ARISTO PHARMA IBERIA S.L.	0	1	0	0
