atropine 0.083 - 0.086 milligram	atropine sulphate 0.1 milligram
atropine 0.166 milligram	atropine sulphate 0.2 milligram
atropine 0.249 milligram	atropine sulphate 0.3 milligram
atropine 0.42 milligram	atropine sulphate 0.5 milligram
atropine 0.83 milligram	atropine sulphate 1 milligram
atropine 8.3 - 8.33 milligram	atropine sulphate 10 milligram
avatrombopag 20 milligram	avatrombopag maleate 23.6 milligram
avibactam 0.5 gram	avibactam sodium 0.542 gram
avibactam 500 milligram	avibactam sodium 550.7 milligram
azelastine 0.125 milligram	azelastine hydrochloride 0.137 milligram
azelastine 0.13 milligram	azelastine hydrochloride 0.14 milligram
azelastine 0.188 milligram	azelastine hydrochloride 0.206 milligram
azelastine 0.46 milligram	azelastine hydrochloride 0.5 milligram
azelastine 125 mikrogram	azelastine hydrochloride 137 mikrogram
azilsartan medoxomil 20 milligram	azilsartan medoxomil potassium 21.34 milligram
azilsartan medoxomil 40 milligram	azilsartan medoxomil potassium 42.68 milligram
azilsartan medoxomil 80 milligram	azilsartan medoxomil potassium 85.36 milligram
azithromycin (anhydrous) 14.3 milligram	azithromycin (dihydrate) 15 milligram
azithromycin (anhydrous) 2 gram	azithromycin (dihydrate) 2.096 gram
azithromycin (anhydrous) 250 milligram	azithromycin (dihydrate) 255.31 - 262.05 milligram
azithromycin (anhydrous) 250 milligram	azithromycin (monohydrate) 256 milligram
azithromycin (anhydrous) 40 milligram	azithromycin (dihydrate) 42 milligram
azithromycin (anhydrous) 500 milligram	azithromycin (dihydrate) 510.62 - 524.1 milligram
azithromycin (anhydrous) 500 milligram	azithromycin (monohydrate) 512 milligram
azithromycin (anhydrous) 600 milligram	azithromycin (dihydrate) 628.85 - 628.93 milligram
aztreonam 75 milligram	aztreonam lysine 100.18 milligram
balsalazide 612.8 milligram	balsalazide disodium (dihydrate) 750 milligram
bambuterol 18.19 milligram	bambuterol hydrochloride 20 milligram
bambuterol 9.1 milligram	bambuterol hydrochloride 10 milligram
baptisia tinctoria (wild indigo) dried root 10 - 11 milligram	baptisia tinctoria (wild indigo) root / echinacea pallida (pale coneflower) root / echinacea purpurea (purple coneflower) root / thuja occidentalis (white cedar) leafy twig; dry extract (4-9:1); ethanol 30 % 3.2 milligram
baptisia tinctoria (wild indigo) dried root 55 milligram	baptisia tinctoria (wild indigo) root / echinacea pallida (pale coneflower) root / echinacea purpurea (purple coneflower) root / thuja occidentalis (white cedar) leafy twig; dry extract (4-9:1); ethanol 30 % 16 milligram
bazedoxifene 20 milligram	bazedoxifene acetate 22.56 milligram
bearberry leaf 903 milligram	arctostaphylos uva-ursi (bearberry) dried leaf; dry extract (2.5-4.5:1); water 361 milligram
bearberry leaf 927.5 milligram	arctostaphylos uva-ursi (bearberry) dried leaf; dry extract (3.5-5.5:1); ethanol 60 % 265 milligram
beclometasone 157 mikrogram	beclomethasone dipropionate anhydrous 200 mikrogram
beclometasone 78 mikrogram	beclomethasone dipropionate anhydrous 100 mikrogram
beclomethasone dipropionate anhydrous 50 mikrogram	beclomethasone dipropionate monohydrate 51.7 mikrogram
bedaquiline 100 milligram	bedaquiline fumarate 120.89 milligram
bedaquiline 20 milligram	bedaquiline fumarate 24.18 milligram
benazepril 18.4 - 18.42 milligram	benazepril hydrochloride 20 milligram
benazepril 2.3 milligram	benazepril hydrochloride 2.5 milligram
benazepril 4.6 milligram	benazepril hydrochloride 5 milligram
benazepril 5.76 milligram	benazepril hydrochloride 6.25 milligram
benazepril 9.2 milligram	benazepril hydrochloride 10 milligram
bendamustine 2.269 - 2.27 milligram	bendamustine hydrochloride 2.5 milligram
bendamustine 2.27 milligram	bendamustine hydrochloride monohydrate 2.61 milligram
bendamustine 22.69 milligram	bendamustine hydrochloride monohydrate 26.14 milligram
bendamustine hydrochloride 2.5 milligram	bendamustine hydrochloride monohydrate 2.61 - 26.14 milligram
bendamustine hydrochloride 25 milligram	bendamustine hydrochloride monohydrate 26.14 milligram
bendamustine hydrochloride monohydrate 2.61 milligram	bendamustine hydrochloride 2.5 milligram
benserazide 12.5 milligram	benserazide hydrochloride 14.25 milligram
benserazide 25 milligram	benserazide hydrochloride 28.5 - 28.54 milligram
benserazide 50 milligram	benserazide hydrochloride 57 milligram
benzydamine 1.34 milligram	benzydamine hydrochloride 1.5 milligram
benzydamine 2.28 - 2.68 milligram	benzydamine hydrochloride 3 milligram
benzylpenicillin 0.56 gram	penicillin g sodium 0.6 gram
benzylpenicillin 0.6 gram	penethamate hydriodide 1 gram
benzylpenicillin 0.938 gram	penicillin g sodium 1 gram
benzylpenicillin 1.13 gram	penicillin g sodium 1.2 gram
benzylpenicillin 1.7 gram	penicillin g procaine (monohydrate) 3 gram
benzylpenicillin 113.6 milligram	penicillin g procaine (monohydrate) 200 milligram
benzylpenicillin 170.4 - 175.8 milligram	penicillin g procaine (monohydrate) 300 milligram
benzylpenicillin 2.814 gram	penicillin g potassium 5 miljoner internationella enheter
benzylpenicillin 2.82 gram	penicillin g sodium 3 gram
benzylpenicillin 200 tusen internationella enheter	penicillin g benzathine 170 milligram
benzylpenicillin 22.5 gram	penicillin g sodium 24 gram
benzylpenicillin 340.8 milligram	penicillin g procaine (monohydrate) 600 milligram
benzylpenicillin 5.63 gram	penicillin g sodium 6 gram
berotralstat 150 milligram	berotralstat hydrochloride 172.41 milligram
betahistine 10.4 - 10.58 milligram	betahistine dihydrochloride 16 milligram
betahistine 15.6 - 15.86 milligram	betahistine dihydrochloride 24 milligram
betahistine 5.2 - 5.29 milligram	betahistine dihydrochloride 8 milligram
betamethasone 0.5 milligram	betamethasone sodium phosphate 0.66 - 0.745 milligram
betamethasone 0.5 milligram	betamethasone sodium phosphate 671 mikrogram
betamethasone 0.5 milligram	betamethasone dipropionate 0.64 - 0.644 milligram
betamethasone 0.5 milligram	betamethasone dipropionate 0.64 mikrogram
betamethasone 0.88 milligram	betamethasone valerate 1.07 milligram
betamethasone 0.9 milligram	betamethasone acetate 1 milligram
betamethasone 1 milligram	betamethasone dipropionate 1.3 milligram
betamethasone 1 milligram	betamethasone valerate 1.2 - 1.22 milligram
betamethasone 3 milligram	betamethasone sodium phosphate 3.95 milligram
betamethasone 4 milligram	betamethasone sodium phosphate 5.3 milligram
betamethasone 5.7 milligram	betamethasone acetate 3 milligram
betaxolol 2.5 milligram	betaxolol hydrochloride 2.8 milligram
betaxolol 5 milligram	betaxolol hydrochloride 5.6 milligram
betula pendula/pubescens (silver birch/downy birch) dry bark 0.5 gram	betula pendula/pubescens (silver birch/downy birch) dry bark; dry extract, refined (5-10:1); n-heptane 100 milligram
betula pendula/pubescens (silver birch/downy birch) dry bark 0.5 gram	betula pendula/pubescens (silver birch/downy birch) dry bark; dry extract, refined (5-10:1); n-heptane 0.1 gram
bicarbonate 15.8 milliekvivalenter	potassium hydrogen carbonate 1581.56 milligram
bicarbonate 5.3 milliekvivalenter	potassium hydrogen carbonate 527.19 milligram
bictegravir 30 milligram	bictegravir sodium 31.47 milligram
bictegravir 50 milligram	bictegravir sodium 52.45 milligram
bilobalide 0.13 milligram	ginkgo biloba (ginkgo) dried leaf; dry extract (35-67:1); acetone 60 % 4.902 milligram
bilobalide 1.04 milligram	ginkgo biloba (ginkgo) dried leaf; dry extract (35-67:1); acetone 60 % 38 milligram
bilobalide 1.4 milligram	ginkgo biloba (ginkgo) dried leaf; dry extract (35-67:1); acetone 60 % 50 milligram
bilobalide 1.63 milligram	ginkgo biloba (ginkgo) dried leaf; dry extract (35-67:1); acetone 60 % 59.4 milligram
bilobalide 2.6 milligram	ginkgo biloba (ginkgo) dried leaf; dry extract (30-40:1); acetone 60-65 % 105 milligram
bilobalide 2.6 procent	ginkgo biloba (ginkgo) dried leaf; dry extract (35-67:1); acetone 60 % 40 milligram
biperiden 1.8 milligram	biperiden hydrochloride 2 milligram
biperiden 3.9 milligram	biperiden lactate 5 milligram
bismuth 1.9 gram	bismuth subnitrate, heavy 2.6 gram
bisoprolol 1.06 milligram	bisoprolol fumarate 1.25 milligram
bisoprolol 2.1 - 2.12 milligram	bisoprolol fumarate 2.5 milligram
bisoprolol 3.18 milligram	bisoprolol fumarate 3.75 milligram
bisoprolol 4.2 - 4.64 milligram	bisoprolol fumarate 5 milligram
bisoprolol 6.36 - 6.37 milligram	bisoprolol fumarate 7.5 milligram
bisoprolol 8.48 - 9.28 milligram	bisoprolol fumarate 10 milligram
bleomycin 15000 internationella enheter	bleomycin sulphate 15000 internationella enheter
bosentan (anhydrous) 125 milligram	bosentan monohydrate 129.08 - 129.1 milligram
bosentan (anhydrous) 32 milligram	bosentan monohydrate 33.045 milligram
bosentan (anhydrous) 62.5 milligram	bosentan monohydrate 64.54 - 64.541 milligram
bosutinib 100 milligram	bosutinib monohydrate 103.396 - 103.4 milligram
bosutinib 100 milligram	bosutinib dihydrate 106.79 milligram
bosutinib 400 milligram	bosutinib dihydrate 427.16 milligram
bosutinib 400 milligram	bosutinib monohydrate 413.584 - 413.6 milligram
bosutinib 500 milligram	bosutinib monohydrate 516.98 milligram
bosutinib 500 milligram	bosutinib dihydrate 533.95 milligram
boswellia serrata (indian frankincense) gum resin 400 milligram	boswellia serrata (indian frankincense) gum resin; dry extract (1-3:1); ethanol 80 % 400 milligram
brensocatib 25 milligram	brensocatib monohydrate 26.07 milligram
brimonidine 0.17 milligram	brimonidine tartrate 0.25 milligram
brimonidine 1.3 - 1.32 milligram	brimonidine tartrate 2 milligram
brimonidine 3.303 milligram	brimonidine tartrate 5 milligram
bromfenac 0.9 milligram	bromfenac sodium sesquihydrate 1 milligram
bromhexine 0.49 milligram	bromhexine hydrochloride 0.533 milligram
bromhexine 0.73 milligram	bromhexine hydrochloride 0.8 milligram
bromhexine 1.46 milligram	bromhexine hydrochloride 1.6 milligram
bromhexine 18.23 milligram	bromhexine hydrochloride 20 milligram
bromhexine 7.29 - 7.3 milligram	bromhexine hydrochloride 8 milligram
bromhexine 9.117 milligram	bromhexine hydrochloride 10 milligram
bromocriptine 10 milligram	bromocriptine mesylate 11.47 milligram
bromocriptine 2.5 milligram	bromocriptine mesylate 2.87 milligram
bromocriptine 5 milligram	bromocriptine mesylate 5.735 milligram
bulevirtide 2 milligram	bulevirtide acetate 2.022 milligram
bupivacaine 0.5 milligram	bupivacaine hydrochloride (monohydrate) 0.6 milligram
bupivacaine 0.84 milligram	bupivacaine hydrochloride (monohydrate) 1 milligram
bupivacaine 2.219 milligram	bupivacaine hydrochloride, anhydrous 2.5 milligram
bupivacaine 2.22 milligram	bupivacaine hydrochloride (monohydrate) 2.638 milligram
bupivacaine 2.23 milligram	bupivacaine hydrochloride (monohydrate) 2.64 milligram
bupivacaine 4.4 - 4.438 milligram	bupivacaine hydrochloride, anhydrous 5 milligram
bupivacaine 4.44 milligram	bupivacaine hydrochloride (monohydrate) 5.275 - 5.277 milligram
bupivacaine 4.46 milligram	bupivacaine hydrochloride (monohydrate) 5.275 - 5.28 milligram
bupivacaine hydrochloride (monohydrate) 5.28 milligram	bupivacaine hydrochloride, anhydrous 5 milligram
bupivacaine hydrochloride, anhydrous 2.5 milligram	bupivacaine hydrochloride (monohydrate) 2.638 - 2.64 milligram
bupivacaine hydrochloride, anhydrous 5 milligram	bupivacaine hydrochloride (monohydrate) 5.275 - 5.28 milligram
buprenorphine 0.2 milligram	buprenorphine hydrochloride 0.216 milligram
buprenorphine 0.2 milligram	buprenorphine hydrochloride 216 mikrogram
buprenorphine 0.3 milligram	buprenorphine hydrochloride 0.324 milligram
buprenorphine 0.4 milligram	buprenorphine hydrochloride 432 mikrogram
buprenorphine 0.4 milligram	buprenorphine hydrochloride 0.43 - 0.45 milligram
