authorisationnumber	concept_id	concept_name	concept_code	mapping_typ
34.283	19044167	xylometazoline hydrochloride 1 MG/ML Nasal Spray [Otrivin]	210487	EXACT
34.566	19076493	digoxin 0.25 MG Oral Tablet [Lanoxin]	309889	EXACT
34.776	40101014	xylometazoline Nasal Spray	374484	BROAD
34.985	1707164	metronidazole	6922	BROAD
34009 302 770 5 8	40165707	esomeprazole 10 MG Granules for Oral Suspension	861568	EXACT
34021	35606532	methylprednisolone Injection	1743703	BROAD
34022	35606532	methylprednisolone Injection	1743703	BROAD
34023	35606532	methylprednisolone Injection	1743703	BROAD
34365	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT
34369	19076324	glucose 50 MG/ML Injectable Solution	309778	EXACT
34372	36249588	glucose / sodium chloride Injection	1794561	EXACT
34565	1436651	mercaptopurine 50 MG Oral Tablet	197931	EXACT
34566	19076493	digoxin 0.25 MG Oral Tablet [Lanoxin]	309889	EXACT
35.034	19035112	metronidazole 250 MG Oral Tablet [Flagyl]	207287	EXACT
35.052	19019586	phenobarbital 100 MG Oral Tablet	198083	EXACT
35.083	19049603	potassium chloride 150 MG/ML	335496	EXACT
35403	44814533	epinephrine 1 MG/ML Injectable Solution [Adrenalin]	1490057	EXACT
35622	40166705	cyproheptadine hydrochloride 4 MG Oral Tablet [Periactin]	866146	EXACT
36.058	964407	salicylic acid	9525	BROAD
36.225	40231785	dexamethasone sodium phosphate 4 MG/ML Injectable Solution	1049400	EXACT
36.270	19022596	diatrizoate	3319	BROAD
36340	19045906	povidone-iodine 100 MG/ML Topical Solution [Betadine]	211108	EXACT
36341	1750197	povidone-iodine 100 MG/ML Douche	211731	EXACT
36384	717165	neostigmine methylsulfate 0.5 MG/ML Injectable Solution	311935	EXACT
36384	717165	neostigmine methylsulfate 0.5 MG/ML Injectable Solution	311935	
37.037	40101014	xylometazoline Nasal Spray	374484	BROAD
37.130	40162717	amitriptyline hydrochloride 25 MG Oral Tablet	856834	EXACT
37.290	40243831	fluocinolone acetonide 0.00025 MG/MG	1191255	EXACT
37.620	40173809	chlordiazepoxide hydrochloride 10 MG Oral Tablet	905532	EXACT
37.725	40227177	mepivacaine hydrochloride 20 MG/ML Injectable Solution	1012737	
37.726	40227165	mepivacaine hydrochloride 10 MG/ML Injectable Solution	1012722	EXACT
37.726	40227165	mepivacaine hydrochloride 10 MG/ML Injectable Solution	1012722	
37.794	40173827	chlordiazepoxide hydrochloride 5 MG Oral Tablet	905521	EXACT
37.932	19025171	methyldopa 250 MG Oral Tablet [Aldomet]	201355	EXACT
37473	40170079	morphine hydrochloride 10 MG/ML	895855	EXACT
37714	35604346	lidocaine hydrochloride 50 MG/ML Injection	1737741	
37925	19057168	procaine 20 MG/ML Injectable Solution	238031	
37965	1314867	azacitidine 100 MG Injection	485246	
38.322	40234404	diphenhydramine hydrochloride 50 MG Oral Tablet	1085945	EXACT
38.333	40174062	trihexyphenidyl hydrochloride 5 MG Oral Tablet [Artane]	905285	EXACT
38.334	40174053	trihexyphenidyl hydrochloride 2 MG Oral Tablet [Artane]	905271	EXACT
38.403	36783904	Glucose Intravenous Solution	OMOP4772189	BROAD
38.406	36783904	Glucose Intravenous Solution	OMOP4772189	BROAD
38172	40221362	sodium chloride Injection	1807545	EXACT
38186	42928457	Water Injectable Solution [WATER FOR]	OMOP4655251	EXACT
39.002	36249588	glucose / sodium chloride Injection	1794561	BROAD
39.005	40220357	1000 ML sodium chloride 9 MG/ML Injection	1807639	EXACT
39.059	19023830	spironolactone 25 MG Oral Tablet [Aldactone]	200820	EXACT
39.409	19004471	diazepam 5 MG Oral Tablet [Valium]	104700	EXACT
39.520	19133331	mefenamic acid 250 MG Oral Capsule	829500	EXACT
39.681	964362	sulfasalazine 500 MG Oral Tablet	198232	
39.692	723020	diazepam 10 MG Oral Tablet	197589	EXACT
39.693	723042	diazepam 5 MG Oral Tablet	197591	EXACT
39.694	42706016	pyridoxine / thiamine / vitamin B12 Oral Tablet	1244145	BROAD
39.732	40227193	mepivacaine hydrochloride 30 MG/ML [Scandonest]	1012761	EXACT
39.795	40169766	levothyroxine sodium 0.1 MG Oral Tablet	892246	EXACT
39.905	19004472	diazepam 10 MG Oral Tablet [Valium]	104701	EXACT
39.943	19024263	diazepam 5 MG/ML Injectable Solution [Valium]	200938	EXACT
39.955	19074680	carbamazepine 200 MG Oral Tablet [Tegretol]	308972	
39002	36249588	glucose / sodium chloride Injection	1794561	BROAD
39005	40220357	1000 ML sodium chloride 9 MG/ML Injection	1807639	EXACT
39458	19019072	ibuprofen 400 MG Oral Tablet	197805	
39710	35605639	deferoxamine mesylate 500 MG Injection [Desferal]	1731352	EXACT
39784	46287343	verapamil hydrochloride 2.5 MG/ML Injection	1665058	EXACT
39858	36249588	glucose / sodium chloride Injection	1794561	BROAD
39946	36783904	Glucose Intravenous Solution	OMOP4772189	BROAD
39947	36783904	Glucose Intravenous Solution	OMOP4772189	BROAD
39969	957136	furosemide 40 MG Oral Tablet	313988	
4.384	41087253	Acetaminophen 250 MG / Caffeine 50 MG / propyphenazone 150 MG Oral Tablet	OMOP2285215	EXACT
40.359	43783772	Glycerin Rectal Solution	OMOP958557	BROAD
40.366	778359	imipramine hydrochloride 10 MG Oral Tablet [Tofranil]	835596	EXACT
40.498	1112807	aspirin	1191	EXACT
40.499	1112807	aspirin	1191	EXACT
40.625	36879880	Calcium Carbonate / calcium lactate Effervescent Oral Tablet	OMOP993594	BROAD
40.628	19121383	betamethasone 3 MG/ML / betamethasone acetate 3 MG/ML Injectable Suspension	578803	
40.698	19007332	methotrexate 2.5 MG Oral Tablet	105585	EXACT
40.935	36783904	Glucose Intravenous Solution	OMOP4772189	BROAD
40256	19078921	2 ML metoclopramide 5 MG/ML Injection	311670	EXACT
40773	42903970	Mycobacterium bovis	1320629	BROAD
40935	36783904	Glucose Intravenous Solution	OMOP4772189	BROAD
41.111	40066620	oxymetazoline Nasal Spray	374488	BROAD
41.181	35605339	ampicillin Injection	1721470	EXACT
41.245	36272051	Penicillin G Intramuscular Solution	OMOP3122926	BROAD
41.290	19001290	lincomycin 500 MG Oral Capsule [Lincocin]	102785	EXACT
41.604	40220357	1000 ML sodium chloride 9 MG/ML Injection	1807639	EXACT
41.662	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT
41.665	19076324	glucose 50 MG/ML Injectable Solution	309778	EXACT
41.666	36249710	glucose 100 MG/ML Injection	1795478	EXACT
41.669	1560744	glucose 220 MG/ML Injectable Solution	347823	
41.671	19079524	sodium chloride 9 MG/ML Injectable Solution	313002	EXACT
41.723	1178668	indomethacin 100 MG Rectal Suppository	199549	
41.755	19082598	glucose 100 MG/ML	317630	BROAD
41.764	35603429	fentanyl 0.05 MG/ML Injection	1735004	EXACT
41446	19005927	metoclopramide 10 MG Oral Tablet [Primperan]	104881	
41448	721724	nortriptyline	7531	BROAD
41755	19082598	glucose 100 MG/ML	317630	BROAD
42.003	19062575	diazepam 2.5 MG Oral Tablet	250345	EXACT
42.117	42800620	cyclopentolate hydrochloride 10 MG/ML Ophthalmic Solution	1298066	EXACT
42.221	40170079	morphine hydrochloride 10 MG/ML	895855	EXACT
42.250	750120	ethosuximide 250 MG Oral Capsule	197682	EXACT
42.481	43783772	Glycerin Rectal Solution	OMOP958557	BROAD
42.504	40163312	propranolol hydrochloride 10 MG Oral Tablet	856448	EXACT
42.568	42628878	mannitol Injection	1791383	BROAD
42.569	42628878	mannitol Injection	1791383	BROAD
42.610	2055860	dexamethasone 1 MG/ML / neomycin 3500 IU/ML / polymyxin B 6000 IU/ML Ophthalmic Suspension	OMOP4956693	EXACT
42.643	40224835	medroxyprogesterone acetate 5 MG Oral Tablet	1000141	EXACT
42.666	19029876	dexamethasone 1 MG/ML Ophthalmic Suspension [Maxidex]	205669	EXACT
42.851	19004589	periciazine 10 MG Oral Tablet	104745	EXACT
42221	40170079	morphine hydrochloride 10 MG/ML	895855	EXACT
42568	42628878	mannitol Injection	1791383	BROAD
42569	42628878	mannitol Injection	1791383	BROAD
42846	1178668	indomethacin 100 MG Rectal Suppository	199549	
43.504	36272051	Penicillin G Intramuscular Solution	OMOP3122926	BROAD
43.523	710062	amitriptyline	704	BROAD
43.559	42628878	mannitol Injection	1791383	BROAD
43.560	42628890	mannitol 200 MG/ML Injection	1791405	EXACT
43.775	1167323	allopurinol 100 MG Oral Tablet	197319	
43.845	36249588	glucose / sodium chloride Injection	1794561	BROAD
43.880	40236648	clomiphene citrate 50 MG Oral Tablet	1093060	EXACT
43.990	1125393	acetaminophen 650 MG Oral Tablet	198444	EXACT
43064	35603355	atropine sulfate 1 MG/ML Injection	1668034	EXACT
43418	19061734	pyrazinamide 250 MG Oral Tablet	249401	EXACT
43479	36783904	Glucose Intravenous Solution	OMOP4772189	BROAD
43559	42628878	mannitol Injection	1791383	BROAD
43560	42628890	mannitol 200 MG/ML Injection	1791405	EXACT
44.139	43526401	doxylamine succinate 10 MG / pyridoxine hydrochloride 10 MG Delayed Release Oral Tablet	1375948	EXACT
44.275	19005148	methotrimeprazine 100 MG Oral Tablet	199769	EXACT
44.460	19002511	fusidate 0.02 MG/MG Topical Ointment [Fucidin]	103577	EXACT
44.541	19087105	amantadine hydrochloride 100 MG Oral Capsule	849389	EXACT
44.656	40163065	clomipramine hydrochloride 25 MG Oral Tablet	857296	EXACT
44.793	40227012	lidocaine hydrochloride 10 MG/ML Injectable Solution	1010033	EXACT
44092	19073219	ampicillin 500 MG Oral Capsule	308212	EXACT
44792	40227049	lidocaine hydrochloride 20 MG/ML Injectable Solution	1010671	EXACT
44793	40227012	lidocaine hydrochloride 10 MG/ML Injectable Solution	1010033	EXACT
44833	19041843	carbocysteine	2023	BROAD
44967	1729720	penicillin V	7984	BROAD
44990	1163944	guaifenesin	5032	BROAD
45.432	40221362	sodium chloride Injection	1807545	EXACT
45.441	42729903	Glucose 56.5 MG/ML Injectable Solution	OMOP2738452	EXACT
45.449	36249588	glucose / sodium chloride Injection	1794561	BROAD
45.544	939682	sodium bicarbonate 14.4 MG/ML	335552	EXACT
45.843	19018850	chlorthalidone 50 MG Oral Tablet	197500	EXACT
45.894	1178668	indomethacin 100 MG Rectal Suppository	199549	
45.929	1125359	acetaminophen 325 MG Rectal Suppository	198437	
45.930	1127042	acetaminophen 150 MG Rectal Suppository	251685	
45.931	40005797	acetaminophen Rectal Suppository	370508	EXACT
45462	40167224	neomycin sulfate 500 MG Oral Tablet	866042	EXACT
45647	43783772	Glycerin Rectal Solution	OMOP958557	BROAD
45648	43783772	Glycerin Rectal Solution	OMOP958557	BROAD
45649	43783772	Glycerin Rectal Solution	OMOP958557	BROAD
45695	19025784	phenytoin sodium 100 MG Oral Capsule [Epanutin]	201745	EXACT
46.035	1253955	SACCHAROMYCES CEREVISIAE VAR. BOULARDII CNCM I-745	OMOP5556087	BROAD
46.065	40225144	oxymetazoline hydrochloride 0.25 MG/ML	1000977	EXACT
46.066	40225161	oxymetazoline hydrochloride 0.5 MG/ML Nasal Spray [Afrin]	1000992	EXACT
46.168	42924564	Penicillin G 5000000 IU Injection	OMOP4651400	BROAD
46.169	36272051	Penicillin G Intramuscular Solution	OMOP3122926	BROAD
46.247	19041843	carbocysteine	2023	BROAD
46.406	46234523	doxycycline hyclate 100 MG Oral Capsule	1649988	
