cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	biosimilar	radiofarmaco
664589	71866	METILPREDNISOLONA NORMON 40 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE EFG	Metilprednisolona 40 mg inyectable	40 mg	Vial	3	vial para inyección	METILPREDNISOLONA, HIDROGENOSUCCINATO DE 40 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	H02AB04 - Metilprednisolona	LABORATORIOS NORMON S.A.	0	0	0
682811	71864	METILPREDNISOLONA NORMON 20 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE EFG	Metilprednisolona 20 mg inyectable	20 mg	Vial	1	vial para inyección	METILPREDNISOLONA, HIDROGENOSUCCINATO DE 20 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	H02AB04 - Metilprednisolona	LABORATORIOS NORMON S.A.	0	0	0
682812	71866	METILPREDNISOLONA NORMON 40 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE EFG	Metilprednisolona 40 mg inyectable	40 mg	Vial	1	vial para inyección	METILPREDNISOLONA, HIDROGENOSUCCINATO DE 40 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	H02AB04 - Metilprednisolona	LABORATORIOS NORMON S.A.	0	0	0
691238	34021	URBASON 8 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE	Metilprednisolona 8 mg inyectable	8 mg	Ampolla	3	ampolla para inyección	METILPREDNISOLONA 8 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	H02AB04 - Metilprednisolona	FIDIA FARMACEUTICI S.P.A.	0	0	0
691246	34021	URBASON 8 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE	Metilprednisolona 8 mg inyectable	8 mg	Ampolla	1	ampolla para inyección	METILPREDNISOLONA 8 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	H02AB04 - Metilprednisolona	FIDIA FARMACEUTICI S.P.A.	0	0	0
691253	34023	URBASON 40 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE	Metilprednisolona 40 mg inyectable	40 mg	Ampolla	1	ampolla para inyección	METILPREDNISOLONA 40 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	H02AB04 - Metilprednisolona	FIDIA FARMACEUTICI S.P.A.	0	0	0
691261	34022	URBASON  20 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE	Metilprednisolona 20 mg inyectable	20 mg	Ampolla	1	ampolla para inyección	METILPREDNISOLONA 20 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	H02AB04 - Metilprednisolona	FIDIA FARMACEUTICI S.P.A.	0	0	0
728343	85015	SKINATAN 1 MG/ML SOLUCION CUTANEA	Metilprednisolona aceponato 1 mg/ml líquido uso tópico	1 mg/ml	Frasco	50	ml	METILPREDNISOLONA ACEPONATO 1 mg	USO CUTÁNEO	SOLUCIÓN CUTÁNEA	D07AC14 - Metilprednisolona, aceponato de	SKIN CARE PHARMA GMBH	0	0	0
731904	86310	METILPREDNISOLONA CINFA 1 MG/G EMULSION CUTANEA	Metilprednisolona aceponato 1 mg/g emulsión cutánea	1 mg/g	Tubo	50	g	METILPREDNISOLONA ACEPONATO 50 mg	USO CUTÁNEO	EMULSIÓN CUTÁNEA	D07AC14 - Metilprednisolona, aceponato de	LABORATORIOS CINFA S.A.	0	0	0
743013	60137	ADVENTAN 1 mg/g CREMA	Metilprednisolona aceponato 1 mg/g crema	1 mg/g	Tubo	30	g	METILPREDNISOLONA ACEPONATO 1 mg	USO CUTÁNEO	CREMA	D07AC14 - Metilprednisolona, aceponato de	LEO PHARMA A/S	0	0	0
743229	60137	ADVENTAN 1 mg/g CREMA	Metilprednisolona aceponato 1 mg/g crema	1 mg/g	Tubo	60	g	METILPREDNISOLONA ACEPONATO 1 mg	USO CUTÁNEO	CREMA	D07AC14 - Metilprednisolona, aceponato de	LEO PHARMA A/S	0	0	0
743237	60138	ADVENTAN 1 mg/g POMADA	Metilprednisolona aceponato 1 mg/g pomada	1 mg/g	Tubo	30	g	METILPREDNISOLONA ACEPONATO 1 mg	USO CUTÁNEO	POMADA	D07AC14 - Metilprednisolona, aceponato de	LEO PHARMA A/S	0	0	0
743260	60138	ADVENTAN 1 mg/g POMADA	Metilprednisolona aceponato 1 mg/g pomada	1 mg/g	Tubo	60	g	METILPREDNISOLONA ACEPONATO 1 mg	USO CUTÁNEO	POMADA	D07AC14 - Metilprednisolona, aceponato de	LEO PHARMA A/S	0	0	0
743369	60139	ADVENTAN 1 mg/g UNGÜENTO	Metilprednisolona aceponato 1 mg/g pomada	1 mg/g	Tubo	30	g	METILPREDNISOLONA ACEPONATO 1 mg	USO CUTÁNEO	POMADA	D07AC14 - Metilprednisolona, aceponato de	LEO PHARMA A/S	0	0	0
757419	63904	LEXXEMA 1 MG/G EMULSION CUTANEA	Metilprednisolona aceponato 1 mg/g emulsión cutánea	1 mg/g	Tubo	50	g	METILPREDNISOLONA ACEPONATO 1 mg	USO CUTÁNEO	EMULSIÓN CUTÁNEA	D07AC14 - Metilprednisolona, aceponato de	ITALFARMACO S.A.	0	0	0
768345	90524	AVATOP 1 MG/G EMULSIÓN CUTÁNEA	Metilprednisolona aceponato 1 mg/g emulsión cutánea	1 mg/g	Tubo	50	g	METILPREDNISOLONA ACEPONATO 1 mg	USO CUTÁNEO	EMULSIÓN CUTÁNEA	D07AC14 - Metilprednisolona, aceponato de	MIBE PHARMA ESPAÑA S.L.U.	0	0	0
